City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
273,roma,43.2128,-75.4557,2.74,52,20,13.89,US,1710173256
274,nar'yan-mar,67.6713,53.087,-20.5,98,17,2.68,RU,1710173513
275,leshan,29.5623,103.7639,16.62,55,59,0.81,CN,1710173514
276,urengoy,65.9667,78.3667,-22.47,100,99,1.52,RU,1710173229
277,youhao,47.8667,128.8333,-14.01,99,92,0.72,CN,1710173514
278,lautoka,-17.6167,177.4667,24.92,94,100,2.57,FJ,1710173514
279,zheleznogorsk,52.331,35.3711,-7.45,89,7,1.88,RU,1710173378
280,bokani,9.4333,5.2,41.77,19,74,2.64,NG,1710173514
281,queenstown,-31.8976,26.8753,32.88,16,1,1.2,ZA,1710173514
282,jose pedro varela,-33.45,-54.5333,29.39,29,50,5.3,UY,1710173345
283,barah,13.7,30.3667,34.91,8,55,4.92,SD,1710173514
284,tazovsky,67.4667,78.7,-26.22,100,96,2.71,RU,1710172887
285,peterhead,57.5058,-1.7981,5.22,86,100,7.31,GB,1710173515
286,dawei,14.0833,98.2,24.37,67,68,1.04,MM,1710173515
287,lompoc,34.6391,-120.4579,14.32,64,0,1.54,US,1710173515
288,afaahiti,-17.75,-149.2833,24.93,83,83,3.46,PF,1710173515
289,chegdomyn,51.1167,133.0167,-22.9,100,46,1.04,RU,1710173515
290,birni n konni,13.7956,5.2553,41.66,7,100,5.8,NE,1710173515
291,smithers,54.7804,-127.1743,-5.07,92,100,0.7,CA,1710173515
292,darnah,32.767,22.6367,22.3,31,1,6.7,LY,1710173515
293,lieksa,63.3167,30.0167,-0.75,87,100,3.02,FI,1710173486
294,goundam,16.4145,-3.6708,38.88,6,67,5.44,ML,1710173387
295,sovetskaya gavan',48.9723,140.2878,-9.39,84,97,2.1,RU,1710173516
296,carnarvon,-24.8667,113.6333,25.11,78,2,9.5,AU,1710173516
297,kronoby,63.7286,23.0339,-0.92,69,0,1.54,FI,1710173516
298,bikenibeu village,1.3673,173.1241,25.98,94,100,5.14,KI,1710173516
299,kholmsk,47.0511,142.0569,-3.61,92,99,3.03,RU,1710173516
300,mtimbira,-8.7833,36.35,24.57,94,91,1.73,TZ,1710173516
301,inari,68.906,27.0288,2.11,95,52,1.98,FI,1710173516
302,dordrecht,51.81,4.6736,8.88,93,100,2.34,NL,1710173403
303,new norfolk,-42.7826,147.0587,22.06,72,86,3.31,AU,1710173516
304,bamboo flat,11.7,92.7167,26.14,64,31,3.33,IN,1710173309
305,sferracavallo,42.726,12.0956,10.47,98,97,3.69,IT,1710173517
306,mukdahan,16.5833,104.5,21.67,72,45,4.8,TH,1710173517
307,la'ie,21.6477,-157.9253,23.98,81,100,4.02,US,1710173517
308,bulungu,-4.55,18.6,25.8,83,100,0.98,CD,1710173517
309,tromso,69.6496,18.957,2.01,93,75,1.54,NO,1710173037
310,port hope,43.9408,-82.7127,4.04,56,90,3.09,US,1710173517
311,palpa,-14.5336,-75.1856,30.45,51,11,3.16,PE,1710173517
312,taree,-31.9,152.4667,16.23,96,96,1.59,AU,1710173518
313,am timan,11.0297,20.2827,41.05,5,59,2.62,TD,1710173518
314,vangaindrano,-23.35,47.6,25.01,90,73,1.41,MG,1710173518
315,livingston,55.9029,-3.5226,7.14,94,100,3.09,GB,1710173496
316,rio grande,-32.035,-52.0986,28.06,54,5,5.15,BR,1710173276
317,tutoia,-2.7619,-42.2744,28.15,83,100,3.68,BR,1710173518
